,id,name,status,formed_in,genre,theme,active,ended_in,country
62,230,Age of Aggression,Active,2002.0,Death Metal,Metal way of life,2002-2022,2022,Germany
63,235,Age of War,Split-up,2006.0,Death Metal,War,2006-2011,2011,Mexico
64,249,Agonize,Active,1997.0,Death Metal,War,1997-2022,2022,Peru
65,251,Agonized,Split-up,1990.0,Death Metal,Gore,1990-1991,1991,Finland
66,258,Agony Spawn,Active,2010.0,Death Metal,Death,2010-2022,2022,Canada
67,261,Agression,Active,2004.0,Death Metal,Rebellion,2004-2022,2022,Chile
68,263,Agressor,Active,1986.0,Death Metal,Death,1986-2022,2022,Colombia
69,269,Ahrimah,Split-up,1992.0,Death Metal,Occultism,1992-1995,1995,Poland
70,275,Ajatus,Active,2010.0,Death Metal,Metal life on streets,2010-2022,2022,Sweden
71,278,Akbal,Active,1997.0,Death Metal,Death,1997-2022,2022,Chile
72,281,Akryal,Split-up,2001.0,Death Metal,Life,2001-2002,2002,United States
73,284,Alabaster Morgue,Active,2003.0,Death Metal,Death,2003-2022,2022,United States
74,285,Alamogordo,Active,2002.0,Death Metal,Destruction,2002-2022,2022,Czech Republic
75,287,Alastor,Active,2006.0,Death Metal,Anti-Religion,2006-2022,2022,Chile
76,288,Alcantagram,Active,2006.0,Death Metal,Gore,2006-2022,2022,Morocco
77,302,Allienatyon,Active,2002.0,Death Metal,Gore,2002-2022,2022,Brazil
78,306,Almagor,Active,2007.0,Death Metal,Christianity,2007-2022,2022,Venezuela
79,311,Altar of Flesh,Active,1999.0,Death Metal,Religion,1999-2022,2022,United States
80,312,Altar of Giallo,Active,2006.0,Death Metal,Zombies,2006-2022,2022,Spain
81,313,Altar of Pain,Split-up,2010.0,Death Metal,Gore,2010-2013,2013,Portugal
82,316,Altars,Split-up,2005.0,Death Metal,History,2005-2016,2016,Australia
83,317,Altars of Suffering,Active,2010.0,Death Metal,Horror films,2010-2022,2022,United States
84,322,Altered Existence,Active,1991.0,Death Metal,Death,1991-2022,2022,United States
85,324,Amachine,Active,2009.0,Death Metal,Political,2009-2022,2022,New Zealand
86,325,Amaduscias,Active,2001.0,Death Metal,Honour,2001-2022,2022,Brazil
87,326,Amaranhig,Active,2012.0,Death Metal,Horror,2012-2022,2022,Philippines
88,329,Ambivalence,Active,2001.0,Death Metal,Problems of Morality,2001-2022,2022,Ukraine
89,332,Ambush,Active,2001.0,Death Metal,Society,2001-2022,2022,Serbia
90,336,Amenthes,Active,2013.0,Death Metal,Occult,2013-2022,2022,United States
91,342,Ammonium,Active,2011.0,Death Metal,Death,2011-2022,2022,Russia
92,343,Amok,Active,1999.0,Death Metal,Death,1999-2022,2022,Czech Republic
93,346,Among Disaster,Active,2011.0,Death Metal,Horror,2011-2022,2022,Venezuela
94,349,Amorbital,Split-up,1993.0,Death Metal,Mythology,1993-2000,2000,Slovakia
95,351,Amorite,Active,2014.0,Death Metal,Ancient Mythology,2014-2022,2022,Hungary
96,355,Amputate,Active,2011.0,Death Metal,Gore,2011-2022,2022,Portugal
97,357,Amputation,Split-up,1988.0,Death Metal,Darkness,1988-1990,1990,Norway
98,361,Amputory,Active,2009.0,Death Metal,Death,2009-2022,2022,Finland
99,362,Amüza,Active,2002.0,Death Metal,Death,2002-2022,2022,Japan
100,372,Anarchos,Active,2010.0,Death Metal,Death,2010-2022,2022,Netherlands
101,374,Anarco Terror,Active,2013.0,Death Metal,Horror,2013-2022,2022,Italy
102,375,Anasarca,Active,1995.0,Death Metal,Death,1995-2022,2022,Germany
103,379,Anatomical Plastination,Active,2015.0,Death Metal,Pathology,2015-2022,2022,Mexico
104,383,Ancestor,Active,1996.0,Death Metal,Evil,1996-2022,2022,Brazil
105,384,Ancestor,Active,1997.0,Death Metal,Death,1997-2022,2022,United States
106,386,Ancestral,Active,2000.0,Death Metal,Death,2000-2022,2022,Chile
107,388,Ancestral Malediction,Active,1994.0,Death Metal,Antichristianity,1994-2022,2022,Brazil
108,392,Ancient Crypts,Active,2012.0,Death Metal,Ancient pre-Columbian cultures,2012-2022,2022,Chile
109,394,Ancient Existence,Split-up,2000.0,Death Metal,Gore,2000-2010,2010,Germany
110,395,Ancient Gods,Active,1998.0,Death Metal,Aztec-Mayan Paganism,1998-2022,2022,United States
